car(20, bmw, small, yes, coup).
car(25, mitsubishi, small, yes, coup).
car(41, toyota, large, no, suv).
car(57, bmw, medium, yes, coup).
car(66, benz, small, yes, coup).
car(75, toyota, small, yes, coup).
car(79, benz, large, no, suv).
car(106, ford, small, yes, coup).
car(141, bmw, medium, yes, coup).
car(144, honda, small, no, coup).
car(156, honda, small, no, coup).
car(168, honda, small, no, coup).
car(187, benz, large, no, suv).
car(189, bmw, medium, yes, coup).
car(192, honda, small, no, coup).
car(194, mitsubishi, medium, no, suv).
car(197, toyota, large, no, suv).
car(201, bmw, medium, yes, coup).
car(236, bmw, small, yes, coup).
car(259, benz, large, no, suv).
car(264, honda, small, no, coup).
car(310, ford, small, yes, coup).
car(315, toyota, small, yes, coup).
car(326, mitsubishi, medium, no, suv).
car(328, toyota, large, no, coup).
car(344, bmw, small, yes, coup).
car(355, benz, large, no, suv).
car(394, ford, small, yes, coup).
car(395, ford, large, no, suv).
car(404, bmw, small, yes, coup).
car(406, ford, small, yes, coup).
car(408, honda, small, no, coup).
car(411, toyota, small, yes, coup).
car(421, mitsubishi, small, yes, coup).
car(445, mitsubishi, small, yes, coup).
car(446, mitsubishi, medium, no, suv).
car(448, toyota, large, no, coup).
car(471, toyota, small, yes, coup).
car(478, ford, small, yes, coup).
car(485, toyota, large, no, suv).
car(494, mitsubishi, medium, no, suv).
car(502, ford, small, yes, coup).
car(515, ford, large, no, suv).
car(534, benz, small, yes, coup).
car(549, bmw, medium, yes, coup).
car(561, bmw, medium, yes, coup).
car(569, toyota, large, no, suv).
car(594, benz, small, yes, coup).
car(602, mitsubishi, medium, no, suv).
car(607, benz, large, no, suv).
car(638, mitsubishi, medium, no, suv).
car(643, benz, large, no, suv).
car(648, honda, small, no, coup).
car(666, benz, small, yes, coup).
car(673, mitsubishi, small, yes, coup).
car(693, bmw, medium, yes, coup).
car(701, toyota, large, no, suv).
car(705, bmw, medium, yes, coup).
car(719, ford, large, no, suv).
car(722, mitsubishi, medium, no, suv).
car(730, ford, small, yes, coup).
car(750, benz, small, yes, coup).
car(764, bmw, small, yes, coup).
car(784, toyota, large, no, coup).
car(803, ford, large, no, suv).
car(825, bmw, medium, yes, coup).
car(828, honda, small, no, coup).
car(834, benz, small, yes, coup).
car(838, ford, small, yes, coup).
car(855, toyota, small, yes, coup).
car(860, bmw, small, yes, coup).
car(872, bmw, small, yes, coup).
car(883, benz, large, no, suv).
car(906, benz, small, yes, coup).
car(907, benz, large, no, suv).
car(922, ford, small, yes, coup).
car(927, toyota, small, yes, coup).
car(930, benz, small, yes, coup).
car(936, honda, small, no, coup).
car(1002, ford, small, yes, coup).
car(1012, toyota, large, no, coup).
car(1016, bmw, small, yes, coup).
car(1017, bmw, medium, yes, coup).
car(1079, ford, large, no, suv).
car(1081, mitsubishi, small, yes, coup).
car(1121, toyota, large, no, suv).
car(1127, ford, large, no, suv).
car(1131, toyota, small, yes, coup).
car(1137, bmw, medium, yes, coup).
car(1141, mitsubishi, small, yes, coup).
car(1157, toyota, large, no, suv).
car(1180, toyota, large, no, coup).
car(1183, benz, large, no, suv).
car(1196, bmw, small, yes, coup).
car(1207, benz, large, no, suv).
car(1217, toyota, large, no, suv).
car(1219, benz, large, no, suv).
car(1222, ford, small, yes, coup).
car(1264, toyota, large, no, coup).
car(1290, benz, small, yes, coup).
car(1294, ford, small, yes, coup).
car(1308, honda, small, no, coup).
car(1309, mitsubishi, small, yes, coup).
car(1312, toyota, large, no, coup).
car(1323, toyota, small, yes, coup).
car(1327, benz, large, no, suv).
car(1345, mitsubishi, small, yes, coup).
car(1383, toyota, small, yes, coup).
car(1391, ford, large, no, suv).
car(1392, honda, small, no, coup).
car(1397, toyota, large, no, suv).
car(1402, ford, small, yes, coup).
car(1407, toyota, small, yes, coup).
car(1424, bmw, small, yes, coup).
car(1425, bmw, medium, yes, coup).
car(1426, ford, small, yes, coup).
car(1441, mitsubishi, small, yes, coup).
car(1455, toyota, small, yes, coup).
car(1459, benz, large, no, suv).
car(1477, mitsubishi, small, yes, coup).
car(1482, benz, small, yes, coup).
car(1483, benz, large, no, suv).
car(1527, toyota, small, yes, coup).
car(1529, toyota, large, no, suv).
car(1538, mitsubishi, medium, no, suv).
car(1541, toyota, large, no, suv).
car(1555, benz, large, no, suv).
car(1559, ford, large, no, suv).
car(1566, benz, small, yes, coup).
car(1574, mitsubishi, medium, no, suv).
car(1575, toyota, small, yes, coup).
car(1577, toyota, large, no, suv).
car(1580, bmw, small, yes, coup).
car(1583, ford, large, no, suv).
car(1587, toyota, small, yes, coup).
car(1593, bmw, medium, yes, coup).
car(1595, ford, large, no, suv).
car(1597, mitsubishi, small, yes, coup).
car(1609, mitsubishi, small, yes, coup).
car(1611, toyota, small, yes, coup).
car(1613, toyota, large, no, suv).
car(1635, toyota, small, yes, coup).
car(1648, toyota, large, no, coup).
car(1654, ford, small, yes, coup).
car(1680, honda, small, no, coup).
car(1701, bmw, medium, yes, coup).
car(1706, mitsubishi, medium, no, suv).
car(1712, bmw, small, yes, coup).
car(1713, bmw, medium, yes, coup).
car(1715, ford, large, no, suv).
car(1731, toyota, small, yes, coup).
car(1732, toyota, large, no, coup).
car(1754, mitsubishi, medium, no, suv).
