car(15, toyota, small, yes, coup).
car(18, benz, small, yes, coup).
car(19, benz, large, no, suv).
car(27, toyota, small, yes, coup).
car(39, toyota, small, yes, coup).
car(45, bmw, medium, yes, coup).
car(91, benz, large, no, suv).
car(109, mitsubishi, small, yes, coup).
car(110, mitsubishi, medium, no, suv).
car(130, ford, small, yes, coup).
car(143, ford, large, no, suv).
car(149, toyota, large, no, suv).
car(160, toyota, large, no, coup).
car(169, mitsubishi, small, yes, coup).
car(205, mitsubishi, small, yes, coup).
car(211, benz, large, no, suv).
car(250, ford, small, yes, coup).
car(252, honda, small, no, coup).
car(255, toyota, small, yes, coup).
car(257, toyota, large, no, suv).
car(262, ford, small, yes, coup).
car(272, bmw, small, yes, coup).
car(275, ford, large, no, suv).
car(289, mitsubishi, small, yes, coup).
car(290, mitsubishi, medium, no, suv).
car(299, ford, large, no, suv).
car(303, toyota, small, yes, coup).
car(319, benz, large, no, suv).
car(323, ford, large, no, suv).
car(334, ford, small, yes, coup).
car(346, ford, small, yes, coup).
car(348, honda, small, no, coup).
car(358, ford, small, yes, coup).
car(368, bmw, small, yes, coup).
car(385, mitsubishi, small, yes, coup).
car(388, toyota, large, no, coup).
car(389, toyota, large, no, suv).
car(407, ford, large, no, suv).
car(410, mitsubishi, medium, no, suv).
car(414, benz, small, yes, coup).
car(418, ford, small, yes, coup).
car(425, toyota, large, no, suv).
car(459, toyota, small, yes, coup).
car(461, toyota, large, no, suv).
car(465, bmw, medium, yes, coup).
car(552, honda, small, no, coup).
car(554, mitsubishi, medium, no, suv).
car(580, toyota, large, no, coup).
car(582, benz, small, yes, coup).
car(586, ford, small, yes, coup).
car(599, ford, large, no, suv).
car(605, toyota, large, no, suv).
car(618, benz, small, yes, coup).
car(620, bmw, small, yes, coup).
car(622, ford, small, yes, coup).
car(639, toyota, small, yes, coup).
car(679, benz, large, no, suv).
car(680, bmw, small, yes, coup).
car(683, ford, large, no, suv).
car(689, toyota, large, no, suv).
car(692, bmw, small, yes, coup).
car(700, toyota, large, no, coup).
car(702, benz, small, yes, coup).
car(710, mitsubishi, medium, no, suv).
car(726, benz, small, yes, coup).
car(736, toyota, large, no, coup).
car(739, benz, large, no, suv).
car(740, bmw, small, yes, coup).
car(748, toyota, large, no, coup).
car(759, toyota, small, yes, coup).
car(765, bmw, medium, yes, coup).
car(776, bmw, small, yes, coup).
