car(13, mitsubishi, small, yes, coup).
car(22, ford, small, yes, coup).
car(30, benz, small, yes, coup).
car(36, honda, small, no, coup).
car(42, benz, small, yes, coup).
car(49, mitsubishi, small, yes, coup).
car(51, toyota, small, yes, coup).
car(63, toyota, small, yes, coup).
car(64, toyota, large, no, coup).
car(70, ford, small, yes, coup).
car(74, mitsubishi, medium, no, suv).
car(90, benz, small, yes, coup).
car(104, bmw, small, yes, coup).
car(108, honda, small, no, coup).
car(114, benz, small, yes, coup).
car(123, toyota, small, yes, coup).
car(126, benz, small, yes, coup).
car(131, ford, large, no, suv).
car(138, benz, small, yes, coup).
car(155, ford, large, no, suv).
car(180, honda, small, no, coup).
car(206, mitsubishi, medium, no, suv).
car(208, toyota, large, no, coup).
car(230, mitsubishi, medium, no, suv).
car(235, benz, large, no, suv).
car(245, toyota, large, no, suv).
car(256, toyota, large, no, coup).
car(263, ford, large, no, suv).
car(268, toyota, large, no, coup).
car(270, benz, small, yes, coup).
car(274, ford, small, yes, coup).
car(293, toyota, large, no, suv).
car(301, mitsubishi, small, yes, coup).
car(302, mitsubishi, medium, no, suv).
car(317, toyota, large, no, suv).
car(330, benz, small, yes, coup).
car(360, honda, small, no, coup).
car(381, bmw, medium, yes, coup).
car(382, ford, small, yes, coup).
car(391, benz, large, no, suv).
car(399, toyota, small, yes, coup).
car(429, bmw, medium, yes, coup).
car(443, ford, large, no, suv).
car(468, honda, small, no, coup).
car(469, mitsubishi, small, yes, coup).
car(480, honda, small, no, coup).
car(482, mitsubishi, medium, no, suv).
car(491, ford, large, no, suv).
car(493, mitsubishi, small, yes, coup).
car(499, benz, large, no, suv).
car(500, bmw, small, yes, coup).
car(509, toyota, large, no, suv).
car(513, bmw, medium, yes, coup).
car(520, toyota, large, no, coup).
car(523, benz, large, no, suv).
car(535, benz, large, no, suv).
car(536, bmw, small, yes, coup).
car(542, mitsubishi, medium, no, suv).
car(551, ford, large, no, suv).
car(564, honda, small, no, coup).
car(566, mitsubishi, medium, no, suv).
car(613, mitsubishi, small, yes, coup).
car(615, toyota, small, yes, coup).
car(625, mitsubishi, small, yes, coup).
car(633, bmw, medium, yes, coup).
