sunny,hot,high,false,no,       is a 'weather.nominal'.
sunny,hot,high,true,no,        is a 'weather.nominal'.
overcast,hot,high,false,yes,   is a 'weather.nominal'.
rainy,mild,high,false,yes,     is a 'weather.nominal'.
rainy,cool,normal,false,yes,   is a 'weather.nominal'.
rainy,cool,normal,true,no,     is a 'weather.nominal'.
overcast,cool,normal,true,yes, is a 'weather.nominal'.
sunny,mild,high,false,no,      is a 'weather.nominal'.
sunny,cool,normal,false,yes,   is a 'weather.nominal'.
rainy,mild,normal,false,yes,   is a 'weather.nominal'.
sunny,mild,normal,true,yes,    is a 'weather.nominal'.
overcast,mild,high,true,yes,   is a 'weather.nominal'.
overcast,hot,normal,false,yes, is a 'weather.nominal'.
rainy,mild,high,true,no,       is a 'weather.nominal'.
