kc2(8, 2, 1, 2, 10, 18, 64.53, 0.14, 7, 9.22, 451.71, 0.02, 25.09, 8, 0, 0, 0, 8, 4, 11, 7, 3, 0, zero, 0).
kc2(14, 1, 1, 1, 2, 5, 11.61, 0.67, 1.5, 7.74, 17.41, 0, 0.97, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, zero, 0).
kc2(18, 2, 1, 1, 9, 21, 87.57, 0.25, 4, 21.89, 350.27, 0.03, 19.46, 8, 0, 0, 0, 8, 10, 11, 10, 3, 0, zero, 0).
kc2(22, 2, 1, 2, 14, 33, 147.16, 0.13, 8, 18.4, 1177.29, 0.05, 65.4, 11, 1, 0, 0, 11, 11, 17, 16, 3, 0, zero, 0).
kc2(32, 6, 1, 3, 45, 104, 549.68, 0.07, 14.61, 37.63, 8030.13, 0.18, 446.12, 35, 1, 5, 1, 16, 23, 62, 42, 11, 0, zero, 0).
kc2(34, 2, 1, 2, 7, 10, 30, 0.22, 4.5, 6.67, 135, 0.01, 7.5, 5, 0, 0, 0, 6, 2, 7, 3, 3, 0, zero, 0).
kc2(62, 3, 1, 2, 17, 64, 310.91, 0.09, 10.73, 28.97, 3337.11, 0.1, 185.39, 13, 0, 2, 0, 14, 15, 41, 23, 5, 0, zero, 0).
kc2(70, 1, 1, 1, 4, 4, 8, 0.67, 1.5, 5.33, 12, 0, 0.67, 2, 0, 0, 0, 3, 1, 3, 1, 1, 0, zero, 0).
kc2(73, 1, 1, 1, 15, 55, 224.81, 0.17, 5.73, 39.25, 1287.55, 0.07, 71.53, 12, 0, 1, 0, 6, 11, 34, 21, 1, 0, zero, 0).
kc2(85, 2, 1, 2, 10, 22, 83.76, 0.17, 6, 13.96, 502.57, 0.03, 27.92, 8, 0, 0, 0, 8, 6, 13, 9, 3, 0, zero, 0).
kc2(106, 1, 1, 1, 4, 4, 8, 0.67, 1.5, 5.33, 12, 0, 0.67, 2, 0, 0, 0, 3, 1, 3, 1, 1, 0, zero, 0).
kc2(143, 2, 1, 2, 11, 17, 60.94, 0.17, 6, 10.16, 365.67, 0.02, 20.31, 8, 0, 1, 0, 8, 4, 11, 6, 3, 0, zero, 0).
kc2(144, 1, 1, 1, 4, 5, 11.61, 0.67, 1.5, 7.74, 17.41, 0, 0.97, 2, 0, 0, 0, 3, 2, 3, 2, 1, 0, zero, 0).
kc2(145, 1, 1, 1, 5, 5, 11.61, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 5, 0, 5, 0, 1, 0, zero, 0).
kc2(164, 1, 1, 1, 4, 4, 8, 0.67, 1.5, 5.33, 12, 0, 0.67, 2, 0, 0, 0, 3, 1, 3, 1, 1, 0, zero, 0).
kc2(169, 2, 1, 2, 28, 69, 324.33, 0.1, 10.27, 31.59, 3329.79, 0.11, 184.99, 18, 1, 7, 0, 11, 15, 41, 28, 3, 0, zero, 0).
kc2(175, 1, 1, 1, 7, 11, 36.54, 0.4, 2.5, 14.62, 91.35, 0.01, 5.08, 3, 0, 0, 1, 5, 5, 6, 5, 1, 0, zero, 0).
kc2(190, 1, 1, 1, 6, 15, 49.83, 0.43, 2.33, 21.36, 116.27, 0.02, 6.46, 4, 0, 0, 0, 4, 6, 8, 7, 1, 0, zero, 0).
kc2(193, 8, 7, 7, 41, 105, 534.18, 0.05, 21.38, 24.99, 11418.2, 0.18, 634.34, 31, 1, 5, 2, 18, 16, 67, 38, 15, 0, zero, 0).
kc2(220, 1, 1, 1, 4, 4, 8, 0.67, 1.5, 5.33, 12, 0, 0.67, 2, 0, 0, 0, 3, 1, 3, 1, 1, 0, zero, 0).
kc2(229, 1, 1, 1, 4, 5, 11.61, 0.5, 2, 5.8, 23.22, 0, 1.29, 2, 0, 0, 0, 4, 1, 4, 1, 1, 0, zero, 0).
kc2(239, 1, 1, 1, 4, 4, 8, 0.67, 1.5, 5.33, 12, 0, 0.67, 2, 0, 0, 0, 3, 1, 3, 1, 1, 0, zero, 0).
kc2(243, 1, 1, 1, 4, 7, 19.65, 0.4, 2.5, 7.86, 49.13, 0.01, 2.73, 2, 0, 0, 0, 5, 2, 5, 2, 1, 0, zero, 0).
kc2(258, 1, 1, 1, 7, 8, 22.46, 0.5, 2, 11.23, 44.92, 0.01, 2.5, 4, 0, 1, 0, 4, 3, 5, 3, 1, 0, zero, 0).
kc2(259, 4, 1, 1, 7, 33, 128.93, 0.19, 5.33, 24.17, 687.61, 0.04, 38.2, 5, 0, 0, 0, 6, 9, 17, 16, 7, 0, zero, 0).
kc2(267, 1, 1, 1, 4, 5, 11.61, 0.67, 1.5, 7.74, 17.41, 0, 0.97, 2, 0, 0, 0, 3, 2, 3, 2, 1, 0, zero, 0).
kc2(282, 2, 1, 1, 10, 28, 114.45, 0.19, 5.33, 21.46, 610.39, 0.04, 33.91, 6, 0, 2, 0, 8, 9, 16, 12, 3, 0, zero, 0).
kc2(298, 1, 1, 1, 2, 5, 11.61, 0.67, 1.5, 7.74, 17.41, 0, 0.97, 0, 0, 0, 0, 3, 2, 3, 2, 1, 0, zero, 0).
kc2(300, 1, 1, 1, 4, 7, 19.65, 0.5, 2, 9.83, 39.3, 0.01, 2.18, 2, 0, 0, 0, 4, 3, 4, 3, 1, 0, zero, 0).
kc2(307, 3, 1, 3, 22, 50, 219.62, 0.14, 7.13, 30.82, 1564.76, 0.07, 86.93, 16, 2, 2, 0, 9, 12, 31, 19, 5, 0, zero, 0).
kc2(314, 12, 7, 8, 106, 261, 1457.68, 0.05, 21.41, 68.08, 31211.4, 0.49, 1733.97, 81, 5, 15, 1, 14, 34, 157, 104, 23, 0, zero, 0).
kc2(315, 1, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, zero, 0).
kc2(322, 3, 1, 1, 7, 38, 161.42, 0.1, 10.31, 15.65, 1664.66, 0.05, 92.48, 14, 0, 1, 0, 8, 5, 11, 7, 5, 0, zero, 0).
kc2(324, 2, 1, 2, 28, 60, 278.63, 0.12, 8.33, 33.44, 2321.93, 0.09, 129, 21, 0, 5, 0, 10, 15, 35, 25, 3, 0, zero, 0).
kc2(328, 3, 1, 3, 23, 51, 239.72, 0.1, 10, 23.97, 2397.22, 0.08, 133.18, 18, 0, 3, 0, 13, 13, 31, 20, 5, 0, zero, 0).
kc2(331, 2, 1, 2, 28, 59, 263.11, 0.1, 10, 26.31, 2631.06, 0.09, 146.17, 18, 0, 6, 0, 10, 12, 35, 24, 3, 0, zero, 0).
kc2(337, 1, 1, 1, 8, 10, 31.7, 0.5, 2, 15.85, 63.4, 0.01, 3.52, 3, 0, 0, 1, 4, 5, 5, 5, 1, 0, zero, 0).
kc2(357, 5, 1, 2, 28, 78, 386.43, 0.09, 11.56, 33.44, 4465.38, 0.13, 248.08, 18, 2, 6, 0, 13, 18, 46, 32, 9, 0, zero, 0).
kc2(361, 1, 1, 1, 5, 5, 11.61, 0.67, 1.5, 7.74, 17.41, 0, 0.97, 2, 0, 0, 1, 3, 2, 3, 2, 1, 0, zero, 0).
kc2(371, 1, 1, 1, 4, 4, 8, 0.67, 1.5, 5.33, 12, 0, 0.67, 2, 0, 0, 0, 3, 1, 3, 1, 1, 0, zero, 0).
kc2(378, 4, 1, 2, 32, 63, 306.05, 0.16, 6.3, 48.58, 1928.13, 0.1, 107.12, 21, 2, 6, 1, 9, 20, 35, 28, 7, 0, zero, 0).
kc2(381, 1, 1, 1, 7, 13, 36.5, 0.2, 5, 7.3, 182.48, 0.01, 10.14, 4, 0, 0, 1, 5, 2, 9, 4, 1, 0, zero, 0).
kc2(407, 1, 1, 1, 4, 4, 8, 0.67, 1.5, 5.33, 12, 0, 0.67, 2, 0, 0, 0, 3, 1, 3, 1, 1, 0, zero, 0).
kc2(409, 1, 1, 1, 2, 4, 8, 0.67, 1.5, 5.33, 12, 0, 0.67, 0, 0, 0, 0, 3, 1, 3, 1, 1, 0, zero, 0).
kc2(419, 10, 1, 6, 55, 122, 657.86, 0.05, 19.41, 33.89, 12771.1, 0.22, 709.51, 37, 2, 10, 4, 19, 23, 75, 47, 19, 0, zero, 0).
kc2(425, 9, 4, 7, 107, 317, 1916.07, 0.04, 27.83, 68.86, 53316.8, 0.64, 2962.05, 84, 0, 19, 1, 20, 46, 189, 128, 17, 1, one, 0.00934579).
kc2(444, 9, 5, 6, 59, 184, 985.79, 0.04, 25.04, 39.36, 24687.6, 0.33, 1371.53, 44, 1, 10, 0, 18, 23, 120, 64, 17, 1, one, 0.0169492).
kc2(452, 6, 4, 6, 51, 96, 488.4, 0.07, 13.82, 35.35, 6747.58, 0.16, 374.87, 42, 3, 4, 0, 15, 19, 61, 35, 11, 1, one, 0.0196078).
kc2(480, 14, 8, 12, 113, 265, 1558.9, 0.05, 20.44, 76.27, 31864.7, 0.52, 1770.26, 85, 9, 15, 0, 17, 42, 164, 101, 27, 4, one, 0.0353982).
kc2(481, 32, 16, 10, 139, 426, 2677.58, 0.04, 24.66, 108.56, 66039.7, 0.89, 3668.87, 118, 1, 16, 1, 17, 61, 249, 177, 63, 5, one, 0.0359712).
kc2(484, 4, 1, 4, 72, 162, 879.05, 0.05, 19.85, 44.28, 17450.9, 0.29, 969.49, 53, 1, 16, 0, 16, 27, 95, 67, 7, 3, one, 0.0416667).
kc2(486, 3, 1, 2, 118, 353, 2050, 0.03, 31.2, 65.71, 63959.9, 0.68, 3553.33, 87, 1, 23, 0, 16, 40, 197, 156, 5, 5, one, 0.0423729).
kc2(491, 3, 1, 3, 43, 83, 380.55, 0.12, 8.25, 46.13, 3139.55, 0.13, 174.42, 24, 4, 8, 0, 8, 16, 50, 33, 5, 2, one, 0.0465116).
kc2(512, 1, 1, 1, 8, 10, 30, 0.3, 3.33, 9, 100, 0.01, 5.56, 4, 0, 1, 0, 5, 3, 6, 4, 1, 1, one, 0.125).
kc2(513, 1, 1, 1, 8, 10, 30, 0.3, 3.33, 9, 100, 0.01, 5.56, 4, 0, 1, 0, 5, 3, 6, 4, 1, 1, one, 0.125).
kc2(519, 1, 1, 1, 4, 5, 11.61, 0.67, 1.5, 7.74, 17.41, 0, 0.97, 2, 0, 0, 0, 3, 2, 3, 2, 1, 1, one, 0.25).
