mitsubishi  ,    small    ,  yes   ,   coup ,is a car.
toyota      ,    small    ,  yes   ,   coup ,is a car.
toyota      ,    large    ,  no    ,   coup ,is a car.
benz        ,    small    ,  yes   ,   coup ,is a car.
bmw         ,    small    ,  yes   ,   coup ,is a car.
bmw         ,    medium   ,  yes   ,   coup ,is a car.
ford        ,    small    ,  yes   ,   coup ,is a car.
honda       ,    small    ,  no     ,  coup ,is a car.
mitsubishi  ,    medium   ,  no   ,    suv ,is a car.
ford        ,    large    ,  no    ,   suv ,is a car.
benz        ,    large    ,  no    ,   suv ,is a car.
toyota      ,    large    ,  no    ,   suv ,is a car.



mitsubishi,small,yes,coup ,is a car.
mitsubishi,    medium   ,  no   ,    suv ,is a car.
toyota      ,    small    ,  yes   ,   coup ,is a car.
toyota      ,    large    ,  no    ,   coup ,is a car.
toyota      ,    large    ,  no    ,   suv ,is a car.
benz        ,    small    ,  yes   ,   coup ,is a car.
benz        ,    large    ,  no    ,   suv ,is a car.
bmw         ,    small    ,  yes   ,   coup ,is a car.
bmw         ,    medium   ,  yes   ,   coup ,is a car.
ford        ,    small    ,  yes   ,   coup ,is a car.
ford        ,    large    ,  no    ,   suv ,is a car.
honda       ,    small    ,  no     ,  coup ,is a car.
mitsubishi,small,yes,coup ,is a car.
mitsubishi,    medium   ,  no   ,    suv ,is a car.
toyota      ,    small    ,  yes   ,   coup ,is a car.
toyota      ,    large    ,  no    ,   coup ,is a car.
toyota      ,    large    ,  no    ,   suv ,is a car.
benz        ,    small    ,  yes   ,   coup ,is a car.
benz        ,    large    ,  no    ,   suv ,is a car.
bmw         ,    small    ,  yes   ,   coup ,is a car.
bmw         ,    medium   ,  yes   ,   coup ,is a car.
ford        ,    small    ,  yes   ,   coup ,is a car.
ford        ,    large    ,  no    ,   suv ,is a car.
honda       ,    small    ,  no     ,  coup ,is a car.
mitsubishi,small,yes,coup ,is a car.
mitsubishi,    medium   ,  no   ,    suv ,is a car.
toyota      ,    small    ,  yes   ,   coup ,is a car.
toyota      ,    large    ,  no    ,   coup ,is a car.
toyota      ,    large    ,  no    ,   suv ,is a car.
benz        ,    small    ,  yes   ,   coup ,is a car.
benz        ,    large    ,  no    ,   suv ,is a car.
bmw         ,    small    ,  yes   ,   coup ,is a car.
bmw         ,    medium   ,  yes   ,   coup ,is a car.
ford        ,    small    ,  yes   ,   coup ,is a car.
ford        ,    large    ,  no    ,   suv ,is a car.
honda       ,    small    ,  no     ,  coup ,is a car.
mitsubishi,small,yes,coup ,is a car.
mitsubishi,    medium   ,  no   ,    suv ,is a car.
toyota      ,    small    ,  yes   ,   coup ,is a car.
toyota      ,    large    ,  no    ,   coup ,is a car.
toyota      ,    large    ,  no    ,   suv ,is a car.
benz        ,    small    ,  yes   ,   coup ,is a car.
benz        ,    large    ,  no    ,   suv ,is a car.
bmw         ,    small    ,  yes   ,   coup ,is a car.
bmw         ,    medium   ,  yes   ,   coup ,is a car.
ford        ,    small    ,  yes   ,   coup ,is a car.
ford        ,    large    ,  no    ,   suv ,is a car.
honda       ,    small    ,  no     ,  coup ,is a car.
mitsubishi,small,yes,coup ,is a car.
mitsubishi,    medium   ,  no   ,    suv ,is a car.
toyota      ,    small    ,  yes   ,   coup ,is a car.
toyota      ,    large    ,  no    ,   coup ,is a car.
