sunny,hot,high,false,no,       is a weather.
sunny,hot,high,true,no,        is a weather.
overcast,hot,high,false,yes,   is a weather.
rainy,mild,high,false,yes,     is a weather.
rainy,cool,normal,false,yes,   is a weather.
rainy,cool,normal,true,no,     is a weather.
overcast,cool,normal,true,yes, is a weather.
sunny,mild,high,false,no,      is a weather.
sunny,cool,normal,false,yes,   is a weather.
rainy,mild,normal,false,yes,   is a weather.
sunny,mild,normal,true,yes,    is a weather.
overcast,mild,high,true,yes,   is a weather.
overcast,hot,normal,false,yes, is a weather.
rainy,mild,high,true,no,       is a weather.
