on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,blown,blown,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,blown,ok,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,ok,blown,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,ok,ok,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,blown,blown,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,blown,ok,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,ok,blown,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,ok,ok,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,ok,blown,blown,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,ok,blown,ok,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,ok,ok,blown,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,ok,ok,ok,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,blown,blown,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,blown,ok,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,ok,blown,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,ok,ok,4
on,on,off,on,on,off,on,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,blown,blown,4
on,on,off,on,on,off,on,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,blown,ok,4
on,on,off,on,on,off,on,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,ok,blown,4
on,on,off,on,on,off,on,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,ok,ok,4
on,on,off,on,on,off,on,on,on,light,light,dark,light,light,dark,light,dark,dark,ok,ok,blown,ok,ok,blown,ok,blown,blown,5
on,on,off,on,on,off,on,on,on,light,light,dark,light,light,dark,light,dark,dark,ok,ok,blown,ok,ok,blown,ok,blown,ok,5
on,on,off,on,on,off,on,on,on,light,light,dark,light,light,dark,light,dark,dark,ok,ok,blown,ok,ok,blown,ok,ok,blown,5
on,on,off,on,on,off,on,on,on,light,light,dark,light,light,dark,light,dark,dark,ok,ok,blown,ok,ok,blown,ok,ok,ok,5
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,blown,blown,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,blown,ok,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,ok,blown,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,ok,ok,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,blown,blown,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,blown,ok,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,ok,blown,4
on,on,off,on,on,off,off,on,on,light,light,dark,light,light,dark,dark,dark,dark,ok,ok,blown,ok,ok,blown,blown,ok,ok,4
on,on,off,on,on,off,off,off,on,light,light,dark,light,light,light,dark,dark,dark,ok,ok,blown,ok,ok,ok,blown,blown,blown,5
on,on,off,on,on,off,off,off,on,light,light,dark,light,light,light,dark,dark,dark,ok,ok,blown,ok,ok,ok,blown,blown,ok,5
on,on,off,on,on,off,off,off,on,light,light,dark,light,light,light,dark,dark,dark,ok,ok,blown,ok,ok,ok,blown,blown,blown,5
on,on,off,on,on,off,off,off,on,light,light,dark,light,light,light,dark,dark,dark,ok,ok,blown,ok,ok,ok,blown,blown,ok,5
on,on,off,on,on,off,off,off,on,light,light,dark,light,light,light,dark,dark,dark,ok,ok,blown,ok,ok,ok,blown,ok,blown,5
