data,1,0.378,0.29834,0.51664,0.35826,0.59796,0.4946,0.8444,1,0,2.75359
data,1,0.22158,0.17754,0.40936,0.82338,0.57288,0.25136,0.7721,1,0,1.58811
data,1,0.42126,0.29756,1,0.56892,0.52938,0.38052,0.6094,1,0,1.85526
data,1,0.16239,0.2172,0.89616,0.5835,0.85062,0.20088,1.141,1,0,0.611477
data,1,0.21174,0.29966,0.66392,0.43218,0.34302,0.41052,1.2887,0,1,1.54594
data,1,0.43287,0.18302,1,0.6516,0.7053,0.2734,1.3092,0,0,6.89713
data,1,0.28299,0.24744,0.97304,0.65676,0.71448,0.46308,1.1965,1,0,2.28436
data,1,0.36765,0.11808,0.84688,0.58356,0.63084,0.41876,0.9116,1,1,0.245442
data,1,0.44661,0.25486,1,0.62748,0.37218,0.47288,0.6199,1,0,1.50816
data,1,0.44259,0.16418,1,0.39912,0.58434,0.27776,0.5788,0,0,3.38741
data,1,0.44283,0.18966,0.5972,0.64254,0.4653,0.56244,0.5123,1,0,1.59628
data,1,0.23841,0.22624,0.65968,0.60702,0.58518,0.5944,1.2039,0,0,4.01267
data,1,0.24444,0.14406,0.65936,0.87318,0.69132,0.42044,1.1431,0,1,1.31839
data,1,0.22707,0.1496,0.57552,0.4872,0.30996,0.4152,0.7045,0,1,1.21793
data,1,0.37632,0.25038,0.60152,0.53154,0.4038,0.52804,0.7174,0,0,4.77391
data,1,0.40839,0.26192,0.7368,0.79416,0.45348,0.43312,0.718,0,1,0.56396
data,1,0.23181,0.1891,0.50504,0.87108,0.46128,0.24016,0.7578,0,1,0.592728
data,1,0.26601,0.1366,1,0.56766,0.49362,0.31452,1.4717,1,1,0.204007
data,1,0.31278,0.1412,0.68496,0.64134,0.55944,0.27408,0.7924,1,1,0.507711
data,1,0.32742,0.14034,0.554,0.73302,0.44082,0.5092,0.5468,0,1,0.563392
data,1,0.40539,0.12712,0.88576,0.64794,0.35556,0.4538,1.3458,1,1,0.420542
data,1,0.33087,0.24448,0.74576,0.68052,0.34572,0.39572,0.51,1,1,0.30698
data,1,0.30534,0.1484,0.93592,0.5904,0.66114,0.5614,0.82,0,0,4.6106
data,1,0.31614,0.23192,0.51208,0.76704,0.80892,0.27272,0.5832,0,0,2.68893
data,1,0.23259,0.1772,1,0.57072,0.63948,0.43164,1.3115,1,0,1.06543
data,1,0.43176,0.1213,0.57176,0.47496,0.48282,0.41728,1.1312,0,0,5.2835
data,1,0.26835,0.15146,0.83256,0.37992,0.39822,0.21672,1.2529,1,1,0.278045
data,1,0.44328,0.29342,0.97664,0.70242,0.81252,0.54244,1.3222,0,0,11.1567
data,1,0.39192,0.15492,0.79056,0.76746,0.58458,0.33176,0.8513,1,1,0.50578
data,1,0.2067,0.28588,0.4572,0.32172,0.83274,0.42052,0.9384,0,0,2.59549
data,1,0.24009,0.25508,0.8068,0.3138,0.54282,0.27012,1.4499,1,0,2.65062
data,1,0.39708,0.10926,0.40184,0.32646,0.32466,0.51536,0.9466,1,0,3.16479
data,1,0.18153,0.23434,1,0.68574,0.65616,0.2416,0.5325,0,0,2.09244
data,1,0.19743,0.19802,0.5596,0.522,0.48066,0.31012,0.8876,1,1,0.514507
data,1,0.39477,0.21126,0.4828,0.60534,0.88206,0.58548,1.1668,1,0,1.93821
data,1,0.1788,0.12028,0.41288,0.78888,0.82308,0.20184,1.1604,1,0,0.693822
data,1,0.43653,0.146,0.97144,0.77226,0.4869,0.40284,0.7487,0,0,3.7126
data,1,0.15804,0.14394,0.73296,0.60144,0.81714,0.55492,0.8656,0,0,1.31196
data,1,0.43497,0.25332,0.59792,0.30402,0.80172,0.43988,0.5345,0,0,3.33879
data,1,0.387,0.20132,0.81016,0.8958,0.879,0.22996,0.9626,0,1,0.896485
data,1,0.22485,0.183,0.81552,0.77376,0.5733,0.45976,1.3427,0,0,3.68361
data,1,0.27186,0.17222,1,0.58722,0.35298,0.5714,1.3012,0,1,0.553166
data,1,0.4311,0.20862,0.6164,0.34572,0.7929,0.5348,1.1888,0,0,5.95105
data,1,0.44517,0.1952,1,0.6861,0.49152,0.22352,0.8178,0,0,5.15933
data,1,0.4407,0.18782,1,0.67572,0.37206,0.5342,0.6,0,0,3.95247
data,1,0.41205,0.12276,0.9624,0.74904,0.51342,0.23928,0.8062,0,1,0.231653
data,1,0.19242,0.1547,0.95768,0.54648,0.65574,0.48264,0.7782,1,0,1.45487
data,1,0.1512,0.21354,0.59928,0.77778,0.35088,0.433,1.0044,1,1,0.382756
data,1,0.33006,0.24982,0.80248,0.6366,0.43098,0.27556,0.9308,0,0,2.28193
