"RF_ID","REQ_ID","FM_ID","FM_IMPACT","RF_REFERENCE","RF_DESC","RF_ERROR","VERSION_ID","LAST_UPDATED","REPLACED_ID","DOCUMENT_REF"
"I244","R235","F214","0.9","","",1.00,"V199",,"",
"I246","R236","F214","0","","",1.00,"V199",,"",
"I247","R232","F212","0.9","","",1.00,"V199",,"",
"I248","R240","F212","0.9","","",1.00,"V199",,"",
"I260","R237","F222","0","","",1.00,"V199",,"",
"I274","R236","F273","0","","",1.00,"V199",,"",
"I275","R238","F273","0.0","","",1.00,"V199",,"",
"I276","R239","F273","0.0","","",1.00,"V199",,"",
"I277","R238","F272","1.0","","",1.00,"V199",,"",
"I281","R239","F272","1.0","","",1.00,"V199",,"",
"I294","R232","F272","0","","",1.00,"V199",,"",
"I295","R235","F293","1","","",1.00,"V199",,"",
"I302","R234","F301","0","","",1.00,"V199",,"",
"I342","R240","F72","0","","",1.00,"V199",,"",
"I346","R233","F216","0","","",1.00,"V199",,"",
"I363","R238","F216","0","","",1.00,"V199",,"",
"I364","R240","F359","1.0","","",1.00,"V199",,"",
"I365","R233","F359","0","","",1.00,"V199",,"",
"I366","R238","F249","0.1","","",1.00,"V199",,"",
"I367","R239","F250","0","","",1.00,"V199",,"",
"I368","R238","F359","0","","",1.00,"V199",,"",
"I370","R238","F306","0.9","","",1.00,"V199",,"",
"I373","R239","F254","0","","",1.00,"V199",,"",
"I374","R262","F249","0","","",1.00,"V199",,"",
"I375","R239","F306","0.9","","",1.00,"V199",,"",
"I376","R264","F306","0","","",1.00,"V199",,"",
"I377","R239","F249","0.1","","",1.00,"V199",,"",
"I378","R232","F250","0","","",1.00,"V199",,"",
"I379","R240","F250","0.1","","",1.00,"V199",,"",
"I380","R234","F254","0","","",1.00,"V199",,"",
"I381","R262","F251","0","","",1.00,"V199",,"",
"I382","R240","F251","0.1","","",1.00,"V199",,"",
"I383","R240","F252","0.8","","",1.00,"V199",,"",
"I384","R236","F251","0","","",1.00,"V199",,"",
"I385","R235","F251","0.1","","",1.00,"V199",,"",
"I386","R232","F251","0","","",1.00,"V199",,"",
"I387","R236","F252","0","","",1.00,"V199",,"",
"I388","R235","F252","0.9","","",1.00,"V199",,"",
"I389","R233","F252","0","","",1.00,"V199",,"",
"I392","R264","F252","0.9","","",1.00,"V199",,"",
"I393","R264","F256","0","","",1.00,"V199",,"",
"I394","R238","F305","1.0","","",1.00,"V199",,"",
"I395","R239","F305","1.0","","",1.00,"V199",,"",
"I396","R264","F305","0","","",1.00,"V199",,"",
"I397","R238","F256","0.9","","",1.00,"V199",,"",
"I398","R239","F256","0.9","","",1.00,"V199",,"",
"I399","R232","F256","0","","",1.00,"V199",,"",
"I400","R235","F256","0.8","","",1.00,"V199",,"",
"I401","R235","F249","0.6","","",1.00,"V199",,"",
"I402","R235","F259","0.8","","",1.00,"V199",,"",
"I403","R235","F258","0.2","","",1.00,"V199",,"",
"I406","R236","F256","0","","",1.00,"V199",,"",
"I408","R407","F305","1.0","","",1.00,"V199",,"",
"I409","R407","F256","0.2","","",1.00,"V199",,"",
"I414","R234","F259","0","","",1.00,"V199",,"",
"I415","R235","F305","0.8","","",1.00,"V199",,"",
"I416","R232","F259","0","","",1.00,"V199",,"",
"I417","R239","F217","0.9","","",1.00,"V199",,"",
"I418","R238","F217","1","","",1.00,"V199",,"",
"I420","R239","F194","0","","",1.00,"V199",,"",
"I422","R264","F258","0","","",1.00,"V199",,"",
"I424","R239","F219","0","","",1.00,"V199",,"",
"I425","R239","F230","0","","",1.00,"V199",,"",
"I426","R235","F306","0.0","","",1.00,"V199",,"",
"I428","R427","F249","0.7","","",1.00,"V199",,"",
"I429","R427","F306","0.8","","",1.00,"V199",,"",
"I430","R427","F252","1","","",1.00,"V199",,"",
"I431","R427","F259","1","","",1.00,"V199",,"",
"I432","R427","F256","0.1","","",1.00,"V199",,"",
"I434","R427","F305","0.2","","",1.00,"V199",,"",
"I435","R240","F306","1.0","","",1.00,"V199",,"",
"I436","R240","F249","1.0","","",1.00,"V199",,"",
"I437","R263","F218","0","","",1.00,"V199",,"",
"I438","R235","F272","0.9","","",1.00,"V199",,"",
"I439","R235","F273","0.3","","",1.00,"V199",,"",
"I444","R440","F230","0","","",1.00,"V199",,"",
"I445","R122","F203","1","","",1.00,"V199",,"",
"I450","R236","F203","0","","",1.00,"V199",,"",
"I452","R234","F203","0","","",1.00,"V199",,"",
"I454","R240","F203","1.0","","",1.00,"V199",,"",
"I456","R122","F204","1","","",1.00,"V199",,"",
"I457","R240","F204","1","","",1.00,"V199",,"",
"I458","R235","F212","0","","",1.00,"V199",,"",
"I459","R232","F203","0","","",1.00,"V199",,"",
"I471","R236","F224","0","","",1.00,"V199",,"",
"I559","R440","F288","0.5","","",1.00,"V199",,"",
"I562","R235","F297","1.0","","",1.00,"V199",,"",
"I563","R235","F298","1.0","","",1.00,"V199",,"",
"I564","R235","F299","1.0","","",1.00,"V199",,"",
"I565","R235","F300","0.0","","",1.00,"V199",,"",
"I566","R235","F301","0.2","","",1.00,"V199",,"",
"I567","R440","F301","0","","",1.00,"V199",,"",
"I568","R440","F297","0.1","","",1.00,"V199",,"",
"I569","R427","F297","0","","",1.00,"V199",,"",
"I571","R440","F227","0","","",1.00,"V199",,"",
"I572","R407","F227","1.0","","",1.00,"V199",,"",
"I574","R235","F227","0.3","","",1.00,"V199",,"",
