
    TotalRisk = 71.739998
    ReuseRisk = 15.410000
    PlatformRisk = 62.490002
    ProcessRisk = 38.419998
    PersonnelRisk = 76.910004
    ProductRisk = 68.940002
    ScheduleRisk = 93.029999
    Sced = 0
    Site = 4
    Tool = 0
    Ltex = 0
    Pexp = 0
    Aexp = 0
    Pcon = 1
    Pcap = 0
    Acap = 0
    Pvol = 1
    Stor = 4
    Time = 5
    Docu = 2
    Ruse = 5
    Cplx = 4
    Data = 4
    Rely = 4
    Pmat = 4
    Team = 4
    Resl = 2
    Flex = 0
    Prec = 5
    Slocsize = 3969696
 

    TotalRisk = 59.090000
    ReuseRisk = 0.000000
    PlatformRisk = 62.490002
    ProcessRisk = 71.449997
    PersonnelRisk = 60.049999
    ProductRisk = 41.410000
    ScheduleRisk = 92.580002
    Sced = 0
    Site = 4
    Tool = 0
    Ltex = 2
    Pexp = 0
    Aexp = 0
    Pcon = 2
    Pcap = 0
    Acap = 0
    Pvol = 1
    Stor = 4
    Time = 5
    Docu = 1
    Ruse = 1
    Cplx = 2
    Data = 1
    Rely = 4
    Pmat = 0
    Team = 1
    Resl = 1
    Flex = 3
    Prec = 0
    Slocsize = 1457070
 

    TotalRisk = 60.480000
    ReuseRisk = 6.620000
    PlatformRisk = 49.450001
    ProcessRisk = 43.950001
    PersonnelRisk = 66.370003
    ProductRisk = 51.180000
    ScheduleRisk = 92.440002
    Sced = 0
    Site = 0
    Tool = 1
    Ltex = 0
    Pexp = 0
    Aexp = 0
    Pcon = 3
    Pcap = 0
    Acap = 0
    Pvol = 1
    Stor = 3
    Time = 5
    Docu = 1
    Ruse = 4
    Cplx = 3
    Data = 4
    Rely = 4
    Pmat = 1
    Team = 0
    Resl = 1
    Flex = 0
    Prec = 2
    Slocsize = 2060101
 

    TotalRisk = 68.419998
    ReuseRisk = 15.410000
    PlatformRisk = 61.410000
    ProcessRisk = 58.980000
    PersonnelRisk = 67.910004
    ProductRisk = 59.549999
    ScheduleRisk = 91.489998
    Sced = 0
    Site = 2
    Tool = 0
    Ltex = 0
    Pexp = 0
    Aexp = 0
    Pcon = 3
    Pcap = 0
    Acap = 1
    Pvol = 2
    Stor = 5
    Time = 5
    Docu = 4
    Ruse = 5
    Cplx = 3
    Data = 3
    Rely = 4
    Pmat = 0
    Team = 4
    Resl = 5
    Flex = 2
    Prec = 3
    Slocsize = 1256060
 

    TotalRisk = 61.410000
    ReuseRisk = 3.300000
    PlatformRisk = 62.490002
    ProcessRisk = 72.470001
    PersonnelRisk = 61.790001
    ProductRisk = 45.619999
    ScheduleRisk = 90.389999
    Sced = 0
    Site = 3
    Tool = 0
    Ltex = 2
    Pexp = 0
    Aexp = 0
    Pcon = 1
    Pcap = 0
    Acap = 0
    Pvol = 2
    Stor = 4
    Time = 5
    Docu = 4
    Ruse = 4
    Cplx = 0
    Data = 2
    Rely = 4
    Pmat = 0
    Team = 1
    Resl = 0
    Flex = 2
    Prec = 1
    Slocsize = 5678282
 

    TotalRisk = 58.509998
    ReuseRisk = 1.440000
    PlatformRisk = 71.769997
    ProcessRisk = 48.110001
    PersonnelRisk = 61.619999
    ProductRisk = 43.259998
    ScheduleRisk = 89.610001
    Sced = 0
    Site = 0
    Tool = 1
    Ltex = 0
    Pexp = 0
    Aexp = 1
    Pcon = 2
    Pcap = 0
    Acap = 0
    Pvol = 4
    Stor = 4
    Time = 5
    Docu = 4
    Ruse = 3
    Cplx = 0
    Data = 4
    Rely = 4
    Pmat = 0
    Team = 1
    Resl = 5
    Flex = 1
    Prec = 5
    Slocsize = 2964646
 

    TotalRisk = 62.680000
    ReuseRisk = 2.870000
