"ID","ORIGINAL_ID","CHECKED"
"P15","P15",1
"P19","P19",1
"P69","P69",0
"P70","P70",0
"P71","P71",0
"P33","P33",1
"P66","P66",0
"P67","P67",0
"P68","P68",0
"P34","P34",1
"P37","P37",1
"P38","P38",1
"P39","P39",0
"P40","P40",0
"P41","P41",0
"P56","P56",1
"P57","P57",1
"P58","P58",1
"P59","P59",0
"P60","P60",0
"P61","P61",1
"P62","P62",0
"P63","P63",0
"P64","P64",0
"P65","P65",0
"P126","P126",0
"P132","P132",0
"P133","P133",0
"P134","P134",0
"P135","P135",0
"P136","P136",0
"P137","P137",0
"P138","P138",0
"P139","P139",0
"P140","P140",0
"P149","P149",0
"P151","P151",0
"P152","P152",0
"P153","P153",0
"P154","P154",0
"P155","P155",0
"P156","P156",0
"P157","P157",0
"P150","P150",0
"P158","P158",0
"P159","P159",0
"P160","P160",0
"P161","P161",0
"P162","P162",0
"P163","P163",0
"P164","P164",0
"P165","P165",0
"P754","P754",0
"P442","P442",0
"P1028","P1028",1
"P16","P16",0
"P127","P127",0
"P144","P144",0
"P145","P145",0
"P146","P146",0
"P147","P147",0
"P17","P17",1
"P130","P130",0
"P141","P141",0
"P142","P142",0
"P143","P143",0
"P148","P148",0
"P226","P226",1
"P309","P309",1
"P310","P310",1
"P18","P18",1
"P131","P131",0
"P191","P191",1
"P192","P192",1
"P193","P193",1
"P213","P213",1
"P228","P228",1
"P253","P253",1
"P292","P292",1
"P308","P308",1
"P353","P353",1
"P354","P354",0
"P355","P355",1
"P663","P663",1
"P664","P664",1
"P669","P669",1
"P670","P670",1
"P721","P721",1
"P729","P729",1
"P749","P749",1
"P802","P802",0
"P847","P847",0
"P965","P965",1
